Ministry,Plan Revenue,Plan Capital,Plan Total,Non Plan Revenue,Non Plan Capital,Non Plan Total,Total,year,Revenue,Capital
MINISTRY OF AGRICULTURE 2723.74,220.81,,2944.55,5021.01,0.46,5021.47 7966.02,,2000-01,,
MINISTRY OF CHEMICALS AND FERTILISERS 43.48,193.52,,237.00,8686.22,200.86,8887.08 9124.08,,2000-01,,
MINISTRY OF CIVIL AVIATION 9.75,45.25,,55.00,167.00,...,167.00 222.00,,2000-01,,
MINISTRY OF COMMERCE AND INDUSTRY 775.07,83.75,,858.82,954.91,...,954.91 1813.73,,2000-01,,
MINISTRY OF COMMUNICATIONS 49.02,87.03,,136.05,2008.94,-10.49,1998.45 2134.50,,2000-01,,
"MINISTRY OF CULTURE, YOUTH AFFAIRS & SPORTS375.40",1.85,,377.25,304.97,0.03,305.00 682.25,,2000-01,,
MINISTRY OF DEFENCE,......,...,,52983.84 17963.95,,70947.79 70947.79,,2000-01,,
DEPARTMENT OF DISINVESTMENT,......,...,,4.15 ...,,4.15 4.15,,2000-01,,
MINISTRY OF ENVIRONMENT AND FORESTS,834.05 15.95,850.00,,115.00 ...,,115.00 965.00,,2000-01,,
MINISTRY OF EXTERNAL AFFAIRS,345.00 230.00,575.00,,1875.70 175.02,,2050.72 2625.72,,2000-01,,
MINISTRY OF FINANCE,####### 19174.66 32823.24,,,######## 997.50,,######## 158765.45,,2000-01,,
MINISTRY OF CONSUMER AFFAIRS AND PUBLIC DIST2R4.I7B0UTIO43N.30,,,68.00,8500.05,-4.25,8495.80,8563.80,2000-01,,
MINISTRY OF HEALTH AND FAMILY WELFARE 4897.85,0.01,,4897.86,961.64,-6.67,954.97,5852.83,2000-01,,
MINISTRY OF HOME AFFAIRS 449.96,654.70,1104.66,9184.61,670.39,9855.00,10959.66,,2000-01,,
MINISTRY OF HUMAN RESOURCE DEVELOPMENT 6908.82,,0.22,,6909.04,2987.94,...,2987.94 9896.98,2000-01,,
MINISTRY OF HEAVY INDUSTRIES AND PUBLIC ENTER3.P7R5ISE1S34.25,,,,138.00,106.78,219.65,326.43 464.43,2000-01,,
MINISTRY OF INFORMATION AND BROADCASTING,83.53,186.47,,270.00,1114.00,...,1114.00 1384.00,2000-01,,
MINISTRY OF INFORMATION TECHNOLOGY,316.03,49.17,,365.20,27.00,...,27.00 392.20,2000-01,,
MINISTRY OF LABOUR,98.00,...,,98.00,805.01,...,805.01 903.01,2000-01,,
"MINISTRY OF LAW, JUSTICE AND COMPANY AFFAIRS75.00",,...,,75.00,439.19,2.90,442.09 517.09,2000-01,,
MINISTRY OF MINES AND MINERALS 452.37,,670.63,1123.00,398.60,112.00,510.60 1633.60,,2000-01,,
MINISTRY OF NON-CONVENTIONAL ENERGY SOURC32E5S.45,,113.55,439.00,5.30,...,5.30 444.30,,2000-01,,
MINISTRY OF PARLIAMENTARY AFFAIRS ...,,...,...,4.82,...,4.82 4.82,,2000-01,,
"MINISTRY OF PERSONNEL, PUBLIC 18.43 GRIEVANCES AND PENSIONS",,0.90,19.33,169.00,11.00,180.00 199.33,,2000-01,,
MINISTRY OF PETROLEUM AND NATURAL GAS ...,,...,...,7.54,...,7.54 7.54,,2000-01,,
MINISTRY OF PLANNING 11.06,,8.94,20.00,30.00,...,30.00 50.00,,2000-01,,
MINISTRY OF POWER 461.70,,2179.27,2640.97,55.74,...,55.74 2696.71,,2000-01,,
MINISTRY OF RURAL DEVELOPMENT 9660.00,,100.00,9760.00,21.18,...,21.18 9781.18,,2000-01,,
MINISTRY OF SCIENCE AND TECHNOLOGY 807.77,24.23,,832.00,1052.33,1.94,1054.27 1886.27,,2000-01,,
MINISTRY OF SMALL SCALE INDUSTRIES AND AGRO72 A9.N47D RURAL INDUTRIES,42.08,,771.55,133.77,1.81,135.58 907.13,,2000-01,,
MINISTRY OF STATISTICS AND PROGRAMME IMPL1E6M73E.0N5TAT6I6O.9N5,,,1740.00,129.05,...,129.05 1869.05,,2000-01,,
MINISTRY OF STEEL 1.50,13.50,,15.00,44.73,4.00,48.73 63.73,,2000-01,,
MINISTRY OF SURFACE  TRANSPORT 1133.37,5038.13,,6171.50,1639.47,211.10,1850.57 8022.07,,2000-01,,
MINISTRY OF TEXTILES 438.51,18.49,,457.00,177.05,577.25,754.30 1211.30,,2000-01,,
MINISTRY OF TOURISM 126.15,8.85,,135.00,27.04,...,27.04 162.04,,2000-01,,
MINISTRY OF TRIBAL AFFAIRS 806.40,3.60,810.00,,2.57,...,2.57 812.57,,2000-01,,
MINISTRY OF URBAN DEVELOPMENT 379.47,520.96,900.43,,767.11,227.89,995.00 1895.43,,2000-01,,
MINISTRY OF URBAN EMPLOYMENT AND POVERTY2 A24L.5L0EVI1A5T5.I0O0N,,379.50,,9.51,10.00,19.51 399.01,,2000-01,,
MINISTRY OF WATER RESOURCES 413.17,62.25,475.42,,199.50,7.00,206.50 681.92,,2000-01,,
MINISTRY OF SOCIAL JUSTICE AND EMPOWERMEN11T64.64,185.36,1350.00,,55.39,2.00,57.39 1407.39,,2000-01,,
DEPARTMENT OF ATOMIC ENERGY 158.40,1395.60,1554.00,,890.00,306.57,1196.57 2750.57,,2000-01,,
DEPARTMENT OF OCEAN DEVELOPMENT 132.60,2.40,135.00,,23.00,...,23.00 158.00,,2000-01,,
DEPARTMENT OF SPACE 1346.89,353.11,1700.00,,319.22,...,319.22 2019.22,,2000-01,,
"THE PRESIDENT, PARLIAMENT, UNION PUBLIC ...",...,...,,228.16 ...,,228.16 228.16,,2000-01,,
UNION TERRITORIES WITHOUT LEGISLATURE 203.09,394.54,597.63,,1185.08 -63.08,,1122.00 1719.63,,2000-01,,
RAILWAYS ** ...,3291.00,3291.00,,......,,...3291.00,,2000-01,,
GRAND TOTAL ####### 35770.28 88100.00,,,,######## 21618.83,,######## 338486.66,,2000-01,,
MINISTRY OF AGRICULTURE,2641.13,382.87,3024.00,868.82,0.63,869.45,3893.45,2001-02,,
MINISTRY OF CHEMICALS AND FERTILISERS,60.41,195.59,256.00,14201.36,237.60,14438.96,14694.96,2001-02,,
MINISTRY OF CIVIL AVIATION,4.40,58.60,63.00,214.93,...,214.93,277.93,2001-02,,
MINISTRY OF COAL,286.93,365.07,652.00,152.50,...,152.50,804.50,2001-02,,
MINISTRY OF COMMERCE AND INDUSTRY,614.73,100.62,715.35,1002.51,...,1002.51,1717.86,2001-02,,
MINISTRY OF COMMUNICATIONS,191.24,107.36,298.60,1510.49,-10.99,1499.50,1798.10,2001-02,,
MINISTRY OF DEFENCE,...,...,...,53147.73,19996.95,73144.68,73144.68,2001-02,,
DEPARTMENT OF DISINVESTMENT,...,...,...,4.04,...,4.04,4.04,2001-02,,
MINISTRY OF ENVIRONMENT AND FORESTS,740.80,59.20,800.00,111.00,...,111.00,911.00,2001-02,,
MINISTRY OF EXTERNAL AFFAIRS,272.00,148.00,420.00,2263.73,199.66,2463.39,2883.39,2001-02,,
MINISTRY OF FINANCE,14708.40,23634.10,38342.50,138875.64,1375.48 140251.12,178593.62,,2001-02,,
"MINISTRY OF CONSUMER AFFAIRS, FOOD AND PUBLIC DISTRIBUTION",18.65,39.64,58.29,13975.75,4.73 13980.48,14038.77,,2001-02,,
MINISTRY OF HEALTH AND FAMILY WELFARE,5508.29,254.45,5762.74,996.02,-6.67 989.35,6752.09,,2001-02,,
MINISTRY OF HOME AFFAIRS,449.86,698.14,1148.00,10044.03,1251.25 11295.28,12443.28,,2001-02,,
MINISTRY OF HUMAN RESOURCE DEVELOPMENT,7568.58,0.42,7569.00,2559.43,... 2559.43,10128.43,,2001-02,,
MINISTRY OF HEAVY INDUSTRIES AND PUBLIC ENTERPRISES,79.21,106.79,186.00,98.11,385.60 483.71,669.71,,2001-02,,
MINISTRY OF INFORMATION AND BROADCASTING,158.19,181.81,340.00,1132.00,... 1132.00,1472.00,,2001-02,,
MINISTRY OF INFORMATION TECHNOLOGY,319.40,105.60,425.00,27.20,... 27.20,452.20,,2001-02,,
MINISTRY OF LABOUR,128.58,6.06,134.64,891.24,...,891.24,1025.88,2001-02,,
"MINISTRY OF LAW, JUSTICE AND COMPANY AFFAIRS",91.20,4.80,96.00,424.37,1.00,425.37,521.37,2001-02,,
MINISTRY OF MINES,149.87,32.13,182.00,267.46,119.00,386.46,568.46,2001-02,,
MINISTRY OF NON-CONVENTIONAL ENERGY SOURCES,414.80,167.45,582.25,5.32,...,5.32,587.57,2001-02,,
MINISTRY OF PARLIAMENTARY AFFAIRS,...,...,...,4.64,...,4.64,4.64,2001-02,,
"MINISTRY OF PERSONNEL, PUBLIC GRIEVANCES AND PENSIONS",45.69,1.31,47.00,167.33,10.28,177.61,224.61,2001-02,,
MINISTRY OF PETROLEUM AND NATURAL GAS,...,...,...,7.21,...,7.21,7.21,2001-02,,
MINISTRY OF PLANNING,61.02,15.00,76.02,30.50,...,30.50,106.52,2001-02,,
MINISTRY OF POWER,517.91,2770.09,3288.00,53.80,...,53.80,3341.80,2001-02,,
MINISTRY OF RURAL DEVELOPMENT,12165.00,100.00,12265.00,21.83,...,21.83,12286.83,2001-02,,
MINISTRY OF SCIENCE AND TECHNOLOGY,889.70,45.30,935.00,1036.85,1.93,1038.78,1973.78,2001-02,,
MINISTRY OF SMALL SCALE INDUSTRIES AND AGRO AND RURAL INDUSTRIES,776.53,21.03,797.56,140.68,2.10,142.78,940.34,2001-02,,
MINISTRY OF STATISTICS AND PROGRAMME IMPLEMENTATION,1673.41,66.59,1740.00,143.66,...,143.66,1883.66,2001-02,,
MINISTRY OF STEEL,10.00,14.00,24.00,62.41,2.00,64.41,88.41,2001-02,,
MINISTRY OF ROAD TRANSPORT AND HIGHWAYS,3194.89,2894.60,6089.49,1426.15,254.94,1681.09,7770.58,2001-02,,
MINISTRY OF SHIPPING,115.10,290.65,405.75,434.10,...,434.10,839.85,2001-02,,
MINISTRY OF TEXTILES,631.95,18.05,650.00,167.40,492.90,660.30,1310.30,2001-02,,
MINISTRY OF TOURISM AND CULTURE,294.56,45.89,340.45,271.49,...,271.49,611.94,2001-02,,
MINISTRY OF TRIBAL AFFAIRS,1010.00,30.00,1040.00,4.66,...,4.66,1044.66,2001-02,,
MINISTRY OF URBAN DEVELOPMENT AND POVERTY ALLEVIATION,577.30,716.06,1293.36,796.11,195.15,991.26,2284.62,2001-02,,
MINISTRY OF WATER RESOURCES,466.26,33.74,500.00,212.37,16.00,228.37,728.37,2001-02,,
MINISTRY OF SOCIAL JUSTICE AND EMPOWERMENT,1252.03,97.97,1350.00,53.06,2.20,55.26,1405.26,2001-02,,
MINISTRY OF YOUTH AFFAIRS AND SPORTS,253.20,1.80,255.00,59.97,0.03,60.00,315.00,2001-02,,
DEPARTMENT OF ATOMIC ENERGY,223.93,1668.07,1892.00,576.04,311.35,887.39,2779.39,2001-02,,
DEPARTMENT OF OCEAN DEVELOPMENT,139.60,2.40,142.00,26.80,...,26.80,168.80,2001-02,,
DEPARTMENT OF SPACE,1288.46,421.54,1710.00,320.00,...,320.00,2030.00,2001-02,,
"THE PRESIDENT, PARLIAMENT, UNION PUBLIC SERVICE COMMISSION AND THE SECRETARIAT OF THE VICE- PRESIDENT",...,...,...,250.83,...,250.83,250.83,2001-02,,
UNION TERRITORIES WITHOUT LEGISLATURE,,232.25,431.75,664.00,1299.25,-61.41,1237.84,2001-02,,
RAILWAYS **,,...,3540.00,3540.00,...,...,...,2001-02,,
GRAND TOTAL,,60225.46,39874.54,100100.00,250340.82,24781.71,275122.53,2001-02,,
MINISTRY OF AGRICULTURE AND FARMERSÂ’ WELFARE,,,,,,,51026.00,2017-18,50903.05,122.95
DEPARTMENT OF ATOMIC ENERGY,,,,,,,12461.20,2017-18,7264.02,5197.18
"MINISTRY OF AYURVEDA, YOGA AND NATUROPATHY, UNANI, SIDDHA AND HOMOEOPATHY (AYUSH)",,,,,,,1428.65,2017-18,1425.35,3.30
MINISTRY OF CHEMICALS  AND FERTILISERS,,,,,,,70578.45,2017-18,70553.74,24.71
MINISTRY OF CIVIL AVIATION,,,,,,,2702.00,2017-18,781.30,1920.70
MINISTRY OF COAL,,,,,,,745.10,2017-18,745.10,...
MINISTRY OF COMMERCE  AND INDUSTRY,,,,,,,8074.70,2017-18,7913.80,160.90
MINISTRY OF COMMUNICATIONS,,,,,,,36237.47,2017-18,32356.47,3881.00
"MINISTRY OF CONSUMER AFFAIRS, FOOD AND PUBLIC DISTRIBUTION",,,,,,,154231.69,2017-18,154162.29,69.40
MINISTRY OF CORPORATE AFFAIRS,,,,,,,448.04,2017-18,418.54,29.50
MINISTRY OF CULTURE,,,,,,,2738.47,2017-18,2661.79,76.68
MINISTRY OF DEFENCE,,,,,,,359854.12,2017-18,268274.42,91579.70
MINISTRY OF DEVELOPMENT  OF NORTH EASTERN REGION,,,,,,,2682.45,2017-18,2084.45,598.00
MINISTRY OF DRINKING WATER AND SANITATION,,,,,,,20010.79,2017-18,20010.79,...
MINISTRY OF EARTH SCIENCES,,,,,,,1719.48,2017-18,1604.48,115.00
MINISTRY OF ELECTRONICS AND INFORMATION TECHNOLOGY,,,,,,,4039.00,2017-18,3690.00,349.00
"MINISTRY OF ENVIRONMENT, FORESTS AND CLIMATE CHANGE",,,,,,,2675.42,2017-18,2635.39,40.03
MINISTRY OF EXTERNAL AFFAIRS,,,,,,,14798.55,2017-18,12648.29,2150.26
MINISTRY OF FINANCE,,,,,,,740168.99,2017-18,699102.99,41066.00
MINISTRY OF FOOD PROCESSING  INDUSTRIES,,,,,,,800.00,2017-18,800.00,...
MINISTRY OF HEALTH AND FAMILY WELFARE,,,,,,,48852.51,2017-18,45343.70,3508.81
MINISTRY OF HEAVY INDUSTRIES AND PUBLIC ENTERPRISES,,,,,,,2619.38,2017-18,1004.37,1615.01
MINISTRY OF HOME AFFAIRS,,,,,,,97187.17,2017-18,83945.43,13241.74
MINISTRY OF HOUSING AND URBAN POVERTY ALLEVIATION,,,,,,,6406.00,2017-18,6406.00,...
MINISTRY OF HUMAN RESOURCE DEVELOPMENT,,,,,,,79685.95,2017-18,79435.95,250.00
MINISTRY OF INFORMATION AND BROADCASTING,,,,,,,4409.00,2017-18,4379.90,29.10
MINISTRY OF LABOUR AND EMPLOYMENT,,,,,,,7188.38,2017-18,7165.53,22.85
MINISTRY OF LAW AND JUSTICE,,,,,,,4536.66,2017-18,3432.39,1104.27
"MINISTRY OF MICRO, SMALL AND MEDIUM ENTERPRISES",,,,,,,6481.96,2017-18,6471.36,10.60
MINISTRY OF MINES,,,,,,,1213.49,2017-18,1054.65,158.84
MINISTRY OF MINORITY AFFAIRS,,,,,,,4195.48,2017-18,4025.48,170.00
MINISTRY OF NEW AND RENEWABLE ENERGY,,,,,,,5472.84,2017-18,5432.84,40.00
MINISTRY OF PANCHAYATI RAJ,,,,,,,790.79,2017-18,790.79,...
MINISTRY OF PARLIAMENTARY AFFAIRS,,,,,,,17.88,2017-18,17.88,...
"MINISTRY OF PERSONNEL, PUBLIC GRIEVANCES AND PENSIONS",,,,,,,1450.68,2017-18,1298.77,151.91
MINISTRY OF PETROLEUM AND NATURAL GAS,,,,,,,29157.57,2017-18,25310.37,3847.20
MINISTRY OF PLANNING,,,,,,,252.52,2017-18,252.09,0.43
MINISTRY OF POWER,,,,,,,13881.14,2017-18,10295.46,3585.68
"THE PRESIDENT, PARLIAMENT, UNION PUBLIC SERVICE COMMISSION AND THE SECRETARIAT  OF",,,,,,,1352.15,2017-18,1352.15,...
THE VICE PRESIDENT,,,,,,,,2017-18,,
MINISTRY OF RAILWAYS,,,,,,,55000.00,2017-18,...,55000.00
MINISTRY OF ROAD TRANSPORT AND HIGHWAYS,,,,,,,64900.00,2017-18,10723.17,54176.83
MINISTRY OF RURAL DEVELOPMENT,,,,,,,107758.24,2017-18,107752.99,5.25
MINISTRY OF SCIENCE AND TECHNOLOGY,,,,,,,11485.38,2017-18,11463.04,22.34
MINISTRY OF SHIPPING,,,,,,,1773.00,2017-18,1388.84,384.16
MINISTRY OF SKILL DEVELOPMENT AND ENTREPRENUERSHIP,,,,,,,3016.14,2017-18,2766.11,250.03
MINISTRY OF SOCIAL JUSTICE AND EMPOWERMENT,,,,,,,7763.00,2017-18,7412.04,350.96
DEPARMENT OF SPACE,,,,,,,9093.71,2017-18,4938.33,4155.38
MINISTRY OF STATISTICS AND PROGRAMME IMPLEMENTATION,,,,,,,4795.74,2017-18,4767.49,28.25
MINISTRY OF STEEL,,,,,,,44.14,2017-18,44.14,...
MINISTRY OF TEXTILES,,,,,,,6226.50,2017-18,6190.98,35.52
MINISTRY OF TOURISM,,,,,,,1840.77,2017-18,1839.69,1.08
MINISTRY OF TRIBAL AFFAIRS,,,,,,,5329.32,2017-18,5269.32,60.00
MINISTRY OF URBAN DEVELOPMENT,,,,,,,34211.84,2017-18,14879.48,19332.36
"MINISTRY OF WATER RESOURCES, RIVER DEVELOPMENT AND GANGA REJUVENATION",,,,,,,6887.00,2017-18,6102.51,784.49
MINISTRY OF WOMEN AND CHILD DEVELOPMENT,,,,,,,22094.67,2017-18,22056.02,38.65
MINISTRY OF YOUTH AFFAIRS AND SPORTS,,,,,,,1943.21,2017-18,1888.46,54.75
GRAND TOTAL,,,,,,,2146734.78,2017-18,1836933.98,309800.80
MINISTRY OF AGRICULTURE AND FARMERS' WELFARE,,,,,,,57600.00,2018-19,57442.41,157.59
DEPARTMENT OF ATOMIC ENERGY,,,,,,,13971.41,2018-19,7834.38,6137.03
"MINISTRY OF AYURVEDA, YOGA AND NATUROPATHY, UNANI, SIDDHA AND HOMOEOPATHY (AYUSH)",,,,,,,1626.37,2018-19,1602.67,23.70
MINISTRY OF CHEMICALS AND FERTILISERS,,,,,,,70586.57,2018-19,70586.47,0.10
MINISTRY OF CIVIL AVIATION,,,,,,,6602.86,2018-19,5881.86,721.00
MINISTRY OF COAL,,,,,,,770.91,2018-19,770.91,...
MINISTRY OF COMMERCE AND INDUSTRY,,,,,,,11391.93,2018-19,10172.26,1219.67
MINISTRY OF COMMUNICATIONS,,,,,,,39551.46,2018-19,33791.19,5760.27
"MINISTRY OF CONSUMER AFFAIRS, FOOD AND PUBLIC DISTRIBUTION",,,,,,,175944.27,2018-19,175471.58,472.69
MINISTRY OF CORPORATE AFFAIRS,,,,,,,564.15,2018-19,537.65,26.50
MINISTRY OF CULTURE,,,,,,,2843.32,2018-19,2764.28,79.04
MINISTRY OF DEFENCE,,,,,,,404364.71,2018-19,304800.85,99563.86
MINISTRY OF DEVELOPMENT  OF NORTH EASTERN REGION,,,,,,,3000.00,2018-19,2326.00,674.00
MINISTRY OF DRINKING WATER AND SANITATION,,,,,,,22356.60,2018-19,22356.60,...
MINISTRY OF EARTH SCIENCES,,,,,,,1800.00,2018-19,1700.00,100.00
MINISTRY OF ELECTRONICS AND INFORMATION TECHNOLOGY,,,,,,,6000.00,2018-19,5675.00,325.00
"MINISTRY OF ENVIRONMENT, FORESTS AND CLIMATE CHANGE",,,,,,,2675.42,2018-19,2586.67,88.75
MINISTRY OF EXTERNAL AFFAIRS,,,,,,,15011.00,2018-19,13374.50,1636.50
MINISTRY OF FINANCE,,,,,,,894706.82,2018-19,874818.17,19888.65
MINISTRY OF FOOD PROCESSING INDUSTRIES,,,,,,,1400.00,2018-19,1400.00,...
MINISTRY OF HEALTH AND FAMILY WELFARE,,,,,,,54600.00,2018-19,51879.60,2720.40
MINISTRY OF HEAVY INDUSTRIES AND PUBLIC ENTERPRISES,,,,,,,1146.17,2018-19,759.68,386.49
MINISTRY OF HOME AFFAIRS,,,,,,,107572.79,2018-19,94358.06,13214.73
MINISTRY OF HOUSING AND URBAN AFFAIRS,,,,,,,41765.13,2018-19,25349.73,16415.40
MINISTRY OF HUMAN RESOURCE DEVELOPMENT,,,,,,,85010.29,2018-19,82258.29,2752.00
MINISTRY OF INFORMATION AND BROADCASTING,,,,,,,4088.98,2018-19,4065.58,23.40
MINISTRY OF LABOUR AND EMPLOYMENT,,,,,,,7700.00,2018-19,7677.75,22.25
MINISTRY OF LAW AND JUSTICE,,,,,,,4905.35,2018-19,3086.05,1819.30
"MINISTRY OF MICRO, SMALL AND MEDIUM ENTERPRISES",,,,,,,6552.61,2018-19,6540.04,12.57
MINISTRY OF MINES,,,,,,,1669.52,2018-19,1499.30,170.22
MINISTRY OF MINORITY AFFAIRS,,,,,,,4700.00,2018-19,4534.96,165.04
MINISTRY OF NEW AND RENEWABLE ENERGY,,,,,,,5146.63,2018-19,5106.23,40.40
MINISTRY OF PANCHAYATI RAJ,,,,,,,825.17,2018-19,825.17,...
MINISTRY OF PARLIAMENTARY AFFAIRS,,,,,,,18.86,2018-19,18.86,...
"MINISTRY OF PERSONNEL, PUBLIC GRIEVANCES AND PENSIONS",,,,,,,1559.61,2018-19,1475.58,84.03
MINISTRY OF PETROLEUM AND NATURAL GAS,,,,,,,31100.55,2018-19,27391.55,3709.00
MINISTRY OF PLANNING,,,,,,,339.65,2018-19,338.97,0.68
MINISTRY OF POWER,,,,,,,15046.92,2018-19,12835.47,2211.45
"THE PRESIDENT, PARLIAMENT, UNION PUBLIC SERVICE COMMISSION AND THE SECRETARIAT  OF THE",,,,,,,1526.14,2018-19,1526.14,...
VICE PRESIDENT,,,,,,,,2018-19,,
MINISTRY OF RAILWAYS,,,,,,,55088.00,2018-19,2028.00,53060.00
MINISTRY OF ROAD TRANSPORT AND HIGHWAYS,,,,,,,71000.00,2018-19,11559.75,59440.25
MINISTRY OF RURAL DEVELOPMENT,,,,,,,114915.32,2018-19,114910.07,5.25
MINISTRY OF SCIENCE AND TECHNOLOGY,,,,,,,12322.28,2018-19,12245.78,76.50
MINISTRY OF SHIPPING,,,,,,,1881.13,2018-19,1519.47,361.66
MINISTRY OF SKILL DEVELOPMENT AND ENTREPRENEURSHIP,,,,,,,3400.00,2018-19,3141.00,259.00
MINISTRY OF SOCIAL JUSTICE AND EMPOWERMENT,,,,,,,8820.00,2018-19,8374.12,445.88
DEPARMENT OF SPACE,,,,,,,10783.42,2018-19,5496.18,5287.24
MINISTRY OF STATISTICS AND PROGRAMME IMPLEMENTATION,,,,,,,4859.00,2018-19,4844.00,15.00
MINISTRY OF STEEL,,,,,,,47.90,2018-19,47.90,...
MINISTRY OF TEXTILES,,,,,,,7147.73,2018-19,7109.84,37.89
MINISTRY OF TOURISM,,,,,,,2150.00,2018-19,2149.99,0.01
MINISTRY OF TRIBAL AFFAIRS,,,,,,,6000.00,2018-19,5935.00,65.00
"MINISTRY OF WATER RESOURCES, RIVER DEVELOPMENT AND GANGA REJUVENATION",,,,,,,8860.00,2018-19,8152.14,707.86
MINISTRY OF WOMEN AND CHILD DEVELOPMENT,,,,,,,24700.00,2018-19,24699.99,0.01
MINISTRY OF YOUTH AFFAIRS AND SPORTS,,,,,,,2196.35,2018-19,2138.31,58.04
GRAND TOTAL,,,,,,,2442213.30,2018-19,2141772.00,300441.30
MINISTRY OF AGRICULTURE AND FARMERS' WELFARE,,,,,,,140763.97,2019-20,140685.25,78.72
DEPARTMENT OF ATOMIC ENERGY,,,,,,,16725.51,2019-20,8618.95,8106.56
