Ministry,Revenue,Capital,Total,Year
MINISTRY OF TOURISM AND CULTURE,667.33,358.33,712.83,2004-05
MINISTRY OF DEFENCE,55217.68,89136.35,89136.35,2004-05
MINISTRY OF DEVELOPMENT OF NORTH EASTERN REGION,1038.56,163.7,1194.7,2004-05
"MINISTRY OF ENVIRONMENT, FORESTS AND CLIMATE CHANGE",1284.46,167.96,1301.21,2004-05
MINISTRY OF EXTERNAL AFFAIRS,3264.06,3185.69,3640.69,2004-05
MINISTRY OF FINANCE,183365.95,186812.93,210507.73,2004-05
MINISTRY OF FOOD PROCESSING INDUSTRIES,115.68,5.68,115.68,2004-05
MINISTRY OF HEALTH AND FAMILY WELFARE,8412.61,996.33,8438.12,2004-05
MINISTRY OF HEAVY INDUSTRIES AND PUBLIC ENTERPRISES,192.52,573.78,663.65,2004-05
MINISTRY OF HOME AFFAIRS,13046.29,14707.58,15003.61,2004-05
MINISTRY OF HUMAN RESOURCE DEVELOPMENT,13516.25,2892.12,13516.26,2004-05
MINISTRY OF INFORMATION AND BROADCASTING,1263.31,1285.03,1514.17,2004-05
MINISTRY OF LABOUR AND EMPLOYMENT,923.54,756.57,923.54,2004-05
MINISTRY OF LAW AND JUSTICE,1407.88,1268.9,1408.9,2004-05
MINISTRY OF NEW AND RENEWABLE ENERGY,509.23,101.51,605.27,2004-05
MINISTRY OF OVERSEAS INDIAN AFFAIRS,6,7,7,2004-05
MINISTRY OF PANCHAYATI RAJ,31.04,0.44,31.04,2004-05
DEPARTMENT OF OCEAN DEVELOPMENT,229.08,31.08,230.08,2004-05
MINISTRY OF PARLIAMENTARY AFFAIRS,5.89,5.89,5.89,2004-05
"MINISTRY OF PERSONNEL, PUBLIC GRIEVANCES AND PENSIONS",251.8,225.86,267.95,2004-05
MINISTRY OF PETROLEUM AND NATURAL GAS,3573.42,3573.42,3573.42,2004-05
MINISTRY OF PLANNING,6446.88,3714.88,10130.88,2004-05
MINISTRY OF POWER,1024.87,2700.07,3662.47,2004-05
"THE PRESIDENT, PARLIAMENT, UNION PUBLIC SERVICE COMMISSION AND THE SECRETARIAT OF THE VICE-PRESIDENT",363.5,363.5,363.5,2004-05
MINISTRY OF ROAD TRANSPORT AND HIGHWAYS,4410.65,6752.4,9637,2004-05
MINISTRY OF RURAL DEVELOPMENT,16016.83,28.43,16021.83,2004-05
MINISTRY OF SCIENCE AND TECHNOLOGY,2831.59,1128.99,2906.39,2004-05
MINISTRY OF SHIPPING,490.55,624.13,781.18,2004-05
"MINISTRY OF MICRO, SMALL AND MEDIUM ENTERPRISES",399.4,67.15,414.4,2004-05
MINISTRY OF SOCIAL JUSTICE AND EMPOWERMENT,1377.26,244.76,1557.01,2004-05
DEPARTMENT OF SPACE,2167.3,895.28,2731.29,2004-05
MINISTRY OF STATISTICS AND PROGRAMME IMPLEMENTATION,1834.87,161.22,1855.71,2004-05
MINISTRY OF STEEL,91.65,180.54,180.54,2004-05
MINISTRY OF TEXTILES,1324.93,913.34,1780.31,2004-05
MINISTRY OF TOURISM AND CULTURE,227.24,355.74,541.74,2004-05
MINISTRY OF TRIBAL AFFAIRS,1108.75,63.27,1159.01,2004-05
UNION TERRITORIES (WITHOUT LEGISLATURE),2035.17,1968.19,2344.43,2004-05
MINISTRY OF HOUSING AND URBAN AFFAIRS,1493.61,1928.58,2579.73,2004-05
"MINISTRY OF WATER RESOURCES, RIVER DEVELOPMENT AND GANGA REJUVENATION",769.45,59.78,829.23,2004-05
MINISTRY OF YOUTH AFFAIRS AND SPORTS,451.76,14.24,466,2004-05
MINISTRY OF RAILWAYS,0,6919,6919,2004-05
GRAND TOTAL,385493.35,92335.79,477829.04,2004-05
MINISTRY OF AGRICULTURE AND FARMERS' WELFARE,6964.37,1486.68,7242.52,2005-06
MINISTRY OF AGRO AND RURAL INDUSTRIES,944.82,88.13,946.63,2005-06
DEPARTMENT OF ATOMIC ENERGY,886.88,4758.06,4995.86,2005-06
MINISTRY OF CHEMICALS AND FERTILISERS,17028.64,17232.03,17312.07,2005-06
MINISTRY OF CIVIL AVIATION,268.5,627.65,633.5,2005-06
MINISTRY OF COAL AND MINES,192.07,40.02,192.07,2005-06
MINISTRY OF COAL AND MINES,400.71,262.13,441.86,2005-06
MINISTRY OF COMMERCE AND INDUSTRY,2448.27,1772.27,3060.27,2005-06
MINISTRY OF ELECTRONICS AND INFORMATION TECHNOLOGY,4985.59,4564.59,5597.05,2005-06
MINISTRY OF COMPANY AFFAIRS,113.37,116.27,116.27,2005-06
"MINISTRY OF CONSUMER AFFAIRS, FOOD AND PUBLIC DISTRIBUTION",26653.82,26589.65,26723.44,2005-06
MINISTRY OF TOURISM AND CULTURE,803.47,375.95,865.27,2005-06
MINISTRY OF DEFENCE,62047.69,96952,96952,2005-06
MINISTRY OF DEVELOPMENT OF NORTH EASTERN REGION,1040.17,67.48,1098.73,2005-06
"MINISTRY OF ENVIRONMENT, FORESTS AND CLIMATE CHANGE",1377.27,164.2,1388.19,2005-06
MINISTRY OF EXTERNAL AFFAIRS,3574.58,3449,3928,2005-06
MINISTRY OF FINANCE,207048.75,2701.36,209750.11,2005-06
MINISTRY OF FOOD PROCESSING INDUSTRIES,186.55,6.55,186.55,2005-06
MINISTRY OF HEALTH AND FAMILY WELFARE,10660.11,1038.34,10687.11,2005-06
MINISTRY OF HEAVY INDUSTRIES AND PUBLIC ENTERPRISES,333.95,618.55,894.25,2005-06
MINISTRY OF HOME AFFAIRS,15597.56,17397.82,17853.87,2005-06
MINISTRY OF HUMAN RESOURCE DEVELOPMENT,22268.13,3150.6,22268.14,2005-06
MINISTRY OF INFORMATION AND BROADCASTING,1329.03,1348.97,1603,2005-06
MINISTRY OF LABOUR AND EMPLOYMENT,1192.09,972.61,1192.09,2005-06
MINISTRY OF LAW AND JUSTICE,544.11,325.13,545.13,2005-06
MINISTRY OF NEW AND RENEWABLE ENERGY,535.33,75.68,605.38,2005-06
MINISTRY OF OVERSEAS INDIAN AFFAIRS,32,35,35,2005-06
MINISTRY OF PANCHAYATI RAJ,50.44,0.44,50.44,2005-06
DEPARTMENT OF OCEAN DEVELOPMENT,377,37,377,2005-06
MINISTRY OF PARLIAMENTARY AFFAIRS,5.9,5.9,5.9,2005-06
"MINISTRY OF PERSONNEL, PUBLIC GRIEVANCES AND PENSIONS",273.84,250.09,304,2005-06
MINISTRY OF PETROLEUM AND NATURAL GAS,3669,3669,3669,2005-06
MINISTRY OF PLANNING,106.8,31.8,106.8,2005-06
MINISTRY OF POWER,409.72,2713.68,3061.7,2005-06
"THE PRESIDENT, PARLIAMENT, UNION PUBLIC SERVICE COMMISSION AND THE SECRETARIAT OF THE VICE-PRESIDENT",378.74,378.74,378.74,2005-06
MINISTRY OF RURAL DEVELOPMENT,24499.94,29.52,24504.73,2005-06
MINISTRY OF SCIENCE AND TECHNOLOGY,3478.58,1290.92,3651.6,2005-06
MINISTRY OF ROAD TRANSPORT AND HIGHWAYS,7333.89,9655.15,14910.28,2005-06
"MINISTRY OF MICRO, SMALL AND MEDIUM ENTERPRISES",442.1,69.59,460.3,2005-06
MINISTRY OF SOCIAL JUSTICE AND EMPOWERMENT,1481.6,184.1,1599.7,2005-06
DEPARTMENT OF SPACE,2540.16,955.84,3148,2005-06
MINISTRY OF STATISTICS AND PROGRAMME IMPLEMENTATION,1817.76,169.52,1839.99,2005-06
MINISTRY OF STEEL,72.53,89.53,89.53,2005-06
MINISTRY OF TEXTILES,1537.92,868.23,2008.25,2005-06
MINISTRY OF TOURISM AND CULTURE,338.95,527.95,828.2,2005-06
MINISTRY OF TRIBAL AFFAIRS,1473.73,46.93,1509.74,2005-06
UNION TERRITORIES (WITHOUT LEGISLATURE),2780.75,2673.37,3131.91,2005-06
MINISTRY OF HOUSING AND URBAN AFFAIRS,2167.83,1885.15,3180.05,2005-06
MINISTRY OF HOUSING AND URBAN AFFAIRS,506.42,12.03,512.03,2005-06
"MINISTRY OF WATER RESOURCES, RIVER DEVELOPMENT AND GANGA REJUVENATION",811.82,298.7,874.56,2005-06
MINISTRY OF YOUTH AFFAIRS AND SPORTS,498.85,76.11,506.99,2005-06
MINISTRY OF RAILWAYS,0,6520,6520,2005-06
GRAND TOTAL,446512.1,67831.7,514343.8,2005-06
MINISTRY OF CHEMICALS AND FERTILISERS,8729.7,394.38,9124.08,2000-01
MINISTRY OF CIVIL AVIATION,176.75,45.25,222,2000-01
MINISTRY OF COMMERCE AND INDUSTRY,1729.98,83.75,1813.73,2000-01
MINISTRY OF COMMUNICATIONS,2057.96,76.54,2134.5,2000-01
"MINISTRY OF CULTURE, YOUTH AFFAIRS & SPOR",680.37,1.88,682.25,2000-01
MINISTRY OF DEFENCE,52983.84,17963.95,70947.79,2000-01
DEPARTMENT OF DISINVESTMENT,4.15,0,4.15,2000-01
"MINISTRY OF ENVIRONMENT, FORESTS AND CLIMATE CHANGE",949.05,15.95,965,2000-01
MINISTRY OF EXTERNAL AFFAIRS,2220.7,405.02,2625.72,2000-01
MINISTRY OF FINANCE,0,20172.16,158765.45,2000-01
"MINISTRY OF CONSUMER AFFAIRS, FOOD AND PUBLIC DISTRIBUTION",8524.75,39.05,8563.8,2000-01
MINISTRY OF HEALTH AND FAMILY WELFARE,5859.49,-6.66,5852.83,2000-01
MINISTRY OF HOME AFFAIRS,9634.57,1325.09,10959.66,2000-01
MINISTRY OF HUMAN RESOURCE DEVELOPMENT,9896.76,0.22,9896.98,2000-01
MINISTRY OF HEAVY INDUSTRIES AND PUBLIC ENTERPRISES,110.53,353.9,464.43,2000-01
MINISTRY OF ELECTRONICS AND INFORMATION TECHNOLOGY,343.03,49.17,392.2,2000-01
MINISTRY OF LABOUR AND EMPLOYMENT,903.01,0,903.01,2000-01
MINISTRY OF LAW AND JUSTICE,514.19,2.9,517.09,2000-01
MINISTRY OF COAL AND MINES,850.97,782.63,1633.6,2000-01
MINISTRY OF NEW AND RENEWABLE ENERGY,330.75,113.55,444.3,2000-01
MINISTRY OF PARLIAMENTARY AFFAIRS,4.82,0,4.82,2000-01
"MINISTRY OF PERSONNEL, PUBLIC GRIEVANCES AND PENSIONS",187.43,11.9,199.33,2000-01
MINISTRY OF PETROLEUM AND NATURAL GAS,7.54,0,7.54,2000-01
MINISTRY OF PLANNING,41.06,8.94,50,2000-01
MINISTRY OF POWER,517.44,2179.27,2696.71,2000-01
MINISTRY OF RURAL DEVELOPMENT,9681.18,100,9781.18,2000-01
MINISTRY OF SCIENCE AND TECHNOLOGY,1860.1,26.17,1886.27,2000-01
MINISTRY OF SMALL SCALE INDUSTRIES AND AG RURAL INDUTRIES,863.24,43.89,907.13,2000-01
MINISTRY OF STATISTICS AND PROGRAMME IMPLEMENTATION,1802.1,66.95,1869.05,2000-01
MINISTRY OF STEEL,46.23,17.5,63.73,2000-01
MINISTRY OF SURFACE TRANSPORT,2772.84,5249.23,8022.07,2000-01
MINISTRY OF TEXTILES,615.56,595.74,1211.3,2000-01
MINISTRY OF TOURISM AND CULTURE,153.19,8.85,162.04,2000-01
MINISTRY OF TRIBAL AFFAIRS,808.97,3.6,812.57,2000-01
MINISTRY OF HOUSING AND URBAN AFFAIRS,1146.58,748.85,1895.43,2000-01
MINISTRY OF HOUSING AND URBAN AFFAIRS,234.01,165,399.01,2000-01
"MINISTRY OF WATER RESOURCES, RIVER DEVELOPMENT AND GANGA REJUVENATION",612.67,69.25,681.92,2000-01
MINISTRY OF SOCIAL JUSTICE AND EMPOWERMENT,1220.03,187.36,1407.39,2000-01
DEPARTMENT OF ATOMIC ENERGY,1048.4,1702.17,2750.57,2000-01
DEPARTMENT OF OCEAN DEVELOPMENT,155.6,2.4,158,2000-01
DEPARTMENT OF SPACE,1666.11,353.11,2019.22,2000-01
"THE PRESIDENT, PARLIAMENT, UNION PUBLIC SERVICE COMMISSION AND THE SECRETARIAT OF THE VICE-PRESIDENT",228.16,0,228.16,2000-01
UNION TERRITORIES (WITHOUT LEGISLATURE),1388.17,331.46,1719.63,2000-01
MINISTRY OF RAILWAYS,0,3291,3291,2000-01
GRAND TOTAL,0,57388.61,338486.66,2000-01
DEPARTMENT OF ATOMIC ENERGY,5528.96,4304.36,9833.32,2013-14
MINISTRY OF CHEMICALS AND FERTILISERS,67547.13,293.21,67840.34,2013-14
MINISTRY OF CIVIL AVIATION,852.38,5029.8,5882.18,2013-14
MINISTRY OF COAL AND MINES,497.7,0,497.7,2013-14
MINISTRY OF COMMERCE AND INDUSTRY,5791.29,1316,7107.29,2013-14
MINISTRY OF COMMUNICATIONS,19159.14,3123.09,22282.23,2013-14
"MINISTRY OF CONSUMER AFFAIRS, FOOD AND PUBLIC DISTRIBUTION",91530.17,61.28,91591.45,2013-14
MINISTRY OF CORPORATE AFFAIRS,225.36,29.92,255.28,2013-14
MINISTRY OF TOURISM AND CULTURE,2023,39,2062,2013-14
MINISTRY OF DEFENCE,164766.8,88579.11,253345.91,2013-14
MINISTRY OF DEVELOPMENT OF NORTH EASTERN REGION,1847.97,183,2030.97,2013-14
MINISTRY OF DRINKING WATER AND SANITATION,15265.7,0,15265.7,2013-14
MINISTRY OF EARTH SCIENCES,1488.89,201.11,1690,2013-14
"MINISTRY OF ENVIRONMENT, FORESTS AND CLIMATE CHANGE",2561.13,69.07,2630.2,2013-14
MINISTRY OF EXTERNAL AFFAIRS,9950.5,1768.5,11719,2013-14
MINISTRY OF FINANCE,580517.81,49688.05,630205.86,2013-14
MINISTRY OF FOOD PROCESSING INDUSTRIES,719.11,0,719.11,2013-14
MINISTRY OF HEALTH AND FAMILY WELFARE,34442.93,2887.07,37330,2013-14
MINISTRY OF HEAVY INDUSTRIES AND PUBLIC ENTERPRISES,480.8,567.56,1048.36,2013-14
MINISTRY OF HOME AFFAIRS,49900.37,9341.26,59241.63,2013-14
MINISTRY OF HOUSING AND URBAN AFFAIRS,1468.02,0,1468.02,2013-14
MINISTRY OF HUMAN RESOURCE DEVELOPMENT,79451,0,79451,2013-14
MINISTRY OF INFORMATION AND BROADCASTING,3006.85,28.8,3035.65,2013-14
MINISTRY OF LABOUR AND EMPLOYMENT,5070.07,11.13,5081.2,2013-14
MINISTRY OF LAW AND JUSTICE,2002.36,11.02,2013.38,2013-14
"MINISTRY OF MICRO, SMALL AND MEDIUM ENTERPRISES",3210.91,78.8,3289.71,2013-14
MINISTRY OF COAL AND MINES,744.55,246.53,991.08,2013-14
MINISTRY OF MINORITY AFFAIRS,3410.98,120,3530.98,2013-14
MINISTRY OF NEW AND RENEWABLE ENERGY,1434.05,99.5,1533.55,2013-14
MINISTRY OF OVERSEAS INDIAN AFFAIRS,95.79,20,115.79,2013-14
MINISTRY OF PANCHAYATI RAJ,7000.7,0,7000.7,2013-14
MINISTRY OF PARLIAMENTARY AFFAIRS,13.28,0,13.28,2013-14
"MINISTRY OF PERSONNEL, PUBLIC GRIEVANCES AND PENSIONS",889.87,130.07,1019.94,2013-14
MINISTRY OF PETROLEUM AND NATURAL GAS,65187.41,1,65188.41,2013-14
MINISTRY OF PLANNING,7181.51,900,8081.51,2013-14
MINISTRY OF POWER,7769.02,2304.05,10073.07,2013-14
"THE PRESIDENT, PARLIAMENT, UNION PUBLIC SERVICE COMMISSION AND THE SECRETARIAT OF THE VICE-PRESIDENT",1033.53,0,1033.53,2013-14
MINISTRY OF ROAD TRANSPORT AND HIGHWAYS,13969.94,17332.2,31302.14,2013-14
MINISTRY OF RURAL DEVELOPMENT,80250.5,0,80250.5,2013-14
MINISTRY OF SCIENCE AND TECHNOLOGY,8224.48,32.85,8257.33,2013-14
MINISTRY OF SHIPPING,1172.28,540.39,1712.67,2013-14
MINISTRY OF SOCIAL JUSTICE AND EMPOWERMENT,6420.32,305,6725.32,2013-14
DEPARTMENT OF SPACE,3052.69,3739.31,6792,2013-14
MINISTRY OF STATISTICS AND PROGRAMME IMPLEMENTATION,4935.53,16.15,4951.68,2013-14
MINISTRY OF STEEL,112.87,0,112.87,2013-14
MINISTRY OF TEXTILES,5423.92,7.67,5431.59,2013-14
MINISTRY OF TOURISM AND CULTURE,1355.3,2,1357.3,2013-14
MINISTRY OF TRIBAL AFFAIRS,4225.94,70,4295.94,2013-14
UNION TERRITORIES (WITHOUT LEGISLATURE),6902.77,1833.75,8736.52,2013-14
MINISTRY OF HOUSING AND URBAN AFFAIRS,2832.82,7530.93,10363.75,2013-14
"MINISTRY OF WATER RESOURCES, RIVER DEVELOPMENT AND GANGA REJUVENATION",1877.3,199.25,2076.55,2013-14
MINISTRY OF WOMEN AND CHILD DEVELOPMENT,20440,0,20440,2013-14
MINISTRY OF YOUTH AFFAIRS AND SPORTS,1218.1,0.9,1219,2013-14
MINISTRY OF RAILWAYS,0,26000,26000,2013-14
GRAND TOTAL,542468.73,229128.59,1665297.32,2013-14
DEPARTMENT OF ATOMIC ENERGY,5860.31,5051.69,10912,2015-16
"MINISTRY OF AYURVEDA, YOGA AND NATUROPATHY, UNANI, SIDDHA AND HOMOEOPATHY (AYUSH)",1197,17,1214,2015-16
MINISTRY OF CIVIL AVIATION,813.3,2528.2,3341.5,2015-16
MINISTRY OF COAL AND MINES,606,0,606,2015-16
MINISTRY OF COMMERCE AND INDUSTRY,7603.59,104.11,7707.7,2015-16
MINISTRY OF COMMUNICATIONS,20169,3074.3,23243.3,2015-16
"MINISTRY OF CONSUMER AFFAIRS, FOOD AND PUBLIC DISTRIBUTION",125365.82,107.95,125473.77,2015-16
MINISTRY OF CORPORATE AFFAIRS,242.78,29.1,271.88,2015-16
MINISTRY OF TOURISM AND CULTURE,2091.5,77.5,2169,2015-16
MINISTRY OF DEFENCE,211903.57,98176.03,310079.6,2015-16
MINISTRY OF DEVELOPMENT OF NORTH EASTERN REGION,2205.74,157,2362.74,2015-16
MINISTRY OF DRINKING WATER AND SANITATION,6243.87,0,6243.87,2015-16
MINISTRY OF EARTH SCIENCES,1494.68,125.02,1619.7,2015-16
"MINISTRY OF ENVIRONMENT, FORESTS AND CLIMATE CHANGE",1632.81,48.79,1681.6,2015-16
MINISTRY OF EXTERNAL AFFAIRS,11238.03,3728.8,14966.83,2015-16
MINISTRY OF FINANCE,655141.36,24819.62,679960.98,2015-16
MINISTRY OF FOOD PROCESSING INDUSTRIES,505.51,0,505.51,2015-16
MINISTRY OF HEALTH AND FAMILY WELFARE,31150.82,917.35,32068.17,2015-16
MINISTRY OF HEAVY INDUSTRIES AND PUBLIC ENTERPRISES,294.73,1349,1643.73,2015-16
MINISTRY OF HOME AFFAIRS,59022.73,9421.37,68444.1,2015-16
MINISTRY OF HOUSING AND URBAN AFFAIRS,5634.47,0,5634.47,2015-16
MINISTRY OF HUMAN RESOURCE DEVELOPMENT,69074.76,0,69074.76,2015-16
MINISTRY OF INFORMATION AND BROADCASTING,3686.11,25,3711.11,2015-16
MINISTRY OF LABOUR AND EMPLOYMENT,5315.22,46.15,5361.37,2015-16
MINISTRY OF LAW AND JUSTICE,3651.9,106.75,3758.65,2015-16
"MINISTRY OF MICRO, SMALL AND MEDIUM ENTERPRISES",2997.12,10.3,3007.42,2015-16
MINISTRY OF COAL AND MINES,1100.93,54.78,1155.71,2015-16
MINISTRY OF MINORITY AFFAIRS,3618.11,120,3738.11,2015-16
MINISTRY OF NEW AND RENEWABLE ENERGY,208.21,95,303.21,2015-16
MINISTRY OF OVERSEAS INDIAN AFFAIRS,106.17,12,118.17,2015-16
MINISTRY OF PANCHAYATI RAJ,94.75,0,94.75,2015-16
MINISTRY OF PARLIAMENTARY AFFAIRS,15.57,0,15.57,2015-16
"MINISTRY OF PERSONNEL, PUBLIC GRIEVANCES AND PENSIONS",1058.33,123.25,1181.58,2015-16
MINISTRY OF PETROLEUM AND NATURAL GAS,30124.55,1,30125.55,2015-16
MINISTRY OF PLANNING,1846.85,364.78,2211.63,2015-16
MINISTRY OF POWER,5766.63,959.3,6725.93,2015-16
"THE PRESIDENT, PARLIAMENT, UNION PUBLIC SERVICE COMMISSION AND THE SECRETARIAT OF THE VICE-PRESIDENT",1186.04,0,1186.04,2015-16
MINISTRY OF ROAD TRANSPORT AND HIGHWAYS,12703,33048.65,45751.65,2015-16
MINISTRY OF RURAL DEVELOPMENT,73332.58,0,73332.58,2015-16
MINISTRY OF SCIENCE AND TECHNOLOGY,9467.02,24.82,9491.84,2015-16
MINISTRY OF SHIPPING,1143.71,296.08,1439.79,2015-16
MINISTRY OF SKILL DEVELOPMENT AND ENTREPRENUERSHIP,1543.46,0,1543.46,2015-16
MINISTRY OF SOCIAL JUSTICE AND EMPOWERMENT,6664.52,497.24,7161.76,2015-16
DEPARTMENT OF SPACE,3923.29,3464.9,7388.19,2015-16
MINISTRY OF STATISTICS AND PROGRAMME IMPLEMENTATION,4816.72,10.15,4826.87,2015-16
MINISTRY OF STEEL,82.95,0,82.95,2015-16
MINISTRY OF TEXTILES,4136.1,138.7,4274.8,2015-16
MINISTRY OF TOURISM AND CULTURE,1568.02,5.05,1573.07,2015-16
MINISTRY OF TRIBAL AFFAIRS,4749.21,70,4819.21,2015-16
UNION TERRITORIES (WITHOUT LEGISLATURE),8152.37,1873.88,10026.25,2015-16
MINISTRY OF HOUSING AND URBAN AFFAIRS,9148.54,10068.33,19216.87,2015-16
"MINISTRY OF WATER RESOURCES, RIVER DEVELOPMENT AND GANGA REJUVENATION",4094.71,137.72,4232.43,2015-16
MINISTRY OF WOMEN AND CHILD DEVELOPMENT,10382.4,0,10382.4,2015-16
MINISTRY OF YOUTH AFFAIRS AND SPORTS,1540.23,0.9,1541.13,2015-16
MINISTRY OF RAILWAYS,0,40000,40000,2015-16
GRAND TOTAL,1536046.4,241430.64,1777477.04,2015-16
